pop,sample,super_pop,gender,population_name
CDX,HG02180,EAS,female,dai_chinese
CDX,HG02181,EAS,female,dai_chinese
CDX,HG02182,EAS,female,dai_chinese
CDX,HG02178,EAS,female,dai_chinese
CDX,HG02166,EAS,female,dai_chinese
CEU,NA06984,EUR,male,ceph
CEU,NA06985,EUR,female,ceph
CEU,NA06986,EUR,male,ceph
CEU,NA06989,EUR,female,ceph
CEU,NA06994,EUR,male,ceph
CEU,NA07000,EUR,female,ceph
CEU,NA07037,EUR,female,ceph
CEU,NA07048,EUR,male,ceph
CEU,NA07051,EUR,male,ceph
CEU,NA07056,EUR,female,ceph
CEU,NA07347,EUR,male,ceph
CEU,NA07357,EUR,male,ceph
CEU,NA10847,EUR,female,ceph
CEU,NA10851,EUR,male,ceph
CEU,NA11829,EUR,male,ceph
CEU,NA11830,EUR,female,ceph
CEU,NA11831,EUR,male,ceph
CEU,NA11832,EUR,female,ceph
CEU,NA11840,EUR,female,ceph
CEU,NA11843,EUR,male,ceph
CEU,NA11881,EUR,male,ceph
CEU,NA11892,EUR,female,ceph
CEU,NA11893,EUR,male,ceph
CEU,NA11894,EUR,female,ceph
CEU,NA11918,EUR,female,ceph
CEU,NA11919,EUR,male,ceph
CEU,NA11920,EUR,female,ceph
CEU,NA11930,EUR,male,ceph
CEU,NA11931,EUR,female,ceph
CEU,NA11932,EUR,male,ceph
CEU,NA11933,EUR,female,ceph
CEU,NA11992,EUR,male,ceph
CEU,NA11994,EUR,male,ceph
CEU,NA11995,EUR,female,ceph
CEU,NA12003,EUR,male,ceph
CEU,NA12004,EUR,female,ceph
CEU,NA12005,EUR,male,ceph
CEU,NA12006,EUR,female,ceph
CEU,NA12043,EUR,male,ceph
CEU,NA12044,EUR,female,ceph
CEU,NA12045,EUR,male,ceph
CEU,NA12046,EUR,female,ceph
CEU,NA12058,EUR,female,ceph
CEU,NA12144,EUR,male,ceph
CEU,NA12154,EUR,male,ceph
CEU,NA12155,EUR,male,ceph
CEU,NA12156,EUR,female,ceph
CEU,NA12234,EUR,female,ceph
CEU,NA12249,EUR,female,ceph
CEU,NA12272,EUR,male,ceph
CEU,NA12273,EUR,female,ceph
CEU,NA12275,EUR,female,ceph
CEU,NA12282,EUR,male,ceph
CEU,NA12283,EUR,female,ceph
CEU,NA12286,EUR,male,ceph
CEU,NA12287,EUR,female,ceph
CEU,NA12340,EUR,male,ceph
CEU,NA12341,EUR,female,ceph
CEU,NA12342,EUR,male,ceph
CEU,NA12347,EUR,male,ceph
CEU,NA12348,EUR,female,ceph
CEU,NA12383,EUR,female,ceph
CEU,NA12399,EUR,male,ceph
CEU,NA12400,EUR,female,ceph
CEU,NA12413,EUR,male,ceph
CEU,NA12414,EUR,female,ceph
CEU,NA12489,EUR,female,ceph
CEU,NA12546,EUR,male,ceph
CEU,NA12716,EUR,male,ceph
CEU,NA12717,EUR,female,ceph
CEU,NA12718,EUR,female,ceph
CEU,NA12748,EUR,male,ceph
CEU,NA12749,EUR,female,ceph
CEU,NA12750,EUR,male,ceph
CEU,NA12751,EUR,female,ceph
CEU,NA12760,EUR,male,ceph
CEU,NA12761,EUR,female,ceph
CEU,NA12762,EUR,male,ceph
CEU,NA12763,EUR,female,ceph
CEU,NA12775,EUR,male,ceph
CEU,NA12776,EUR,female,ceph
CEU,NA12777,EUR,male,ceph
CEU,NA12778,EUR,female,ceph
CEU,NA12812,EUR,male,ceph
CEU,NA12813,EUR,female,ceph
CEU,NA12814,EUR,male,ceph
CEU,NA12815,EUR,female,ceph
CEU,NA12827,EUR,male,ceph
CEU,NA12828,EUR,female,ceph
CEU,NA12829,EUR,male,ceph
CEU,NA12830,EUR,female,ceph
CEU,NA12842,EUR,male,ceph
CEU,NA12843,EUR,female,ceph
CEU,NA12872,EUR,male,ceph
CEU,NA12873,EUR,female,ceph
CEU,NA12874,EUR,male,ceph
CEU,NA12878,EUR,female,ceph
CEU,NA12889,EUR,male,ceph
CEU,NA12890,EUR,female,ceph
CHB,NA18638,EAS,male,han_chinese
CHB,NA18538,EAS,female,han_chinese
CHB,NA18639,EAS,male,han_chinese
CHB,NA18640,EAS,female,han_chinese
CHB,NA18641,EAS,female,han_chinese
CHB,NA18633,EAS,male,han_chinese
CHB,NA18634,EAS,female,han_chinese
CHB,NA18635,EAS,male,han_chinese
CHB,NA18636,EAS,male,han_chinese
CHB,NA18637,EAS,male,han_chinese
CHB,NA18747,EAS,male,han_chinese
CHB,NA18748,EAS,male,han_chinese
CHB,NA18749,EAS,male,han_chinese
CHB,NA18757,EAS,male,han_chinese
CHB,NA18642,EAS,female,han_chinese
CHB,NA18643,EAS,male,han_chinese
CHB,NA18644,EAS,female,han_chinese
CHB,NA18645,EAS,male,han_chinese
CHB,NA18646,EAS,female,han_chinese
CHB,NA18647,EAS,male,han_chinese
CHB,NA18648,EAS,male,han_chinese
CHB,NA18740,EAS,male,han_chinese
CHB,NA18745,EAS,male,han_chinese
CHB,NA18624,EAS,male,han_chinese
CHB,NA18625,EAS,female,han_chinese
CHB,NA18626,EAS,female,han_chinese
CHB,NA18627,EAS,female,han_chinese
CHB,NA18628,EAS,female,han_chinese
CHB,NA18629,EAS,male,han_chinese
CHB,NA18630,EAS,female,han_chinese
CHB,NA18631,EAS,female,han_chinese
